Local;feridos;latitude;longitude
NOVA LONDRINA, PR - Rodovia: BR-376, KM 33;0;-22,785417;-52,988542
NOVA LONDRINA, PR - Rodovia: BR-376, KM 35;3;-22,79814052;-52,99675941
NOVA LONDRINA, PR - Rodovia: BR-376, KM 37;1;-22,81025;-53,01825
NOVA LONDRINA, PR - Rodovia: BR-376, KM 38;1;-22,814455;-53,015739
NOVA LONDRINA, PR - Rodovia: BR-376, KM 46;1;-22,8604428;-52,9661876
NOVA LONDRINA, PR - Rodovia: BR-376, KM 47;3;-22,872943;-52,954256
GUAIRACA, PR - Rodovia: BR-376, KM 67;0;-22,9313599;-52,77006255
GUAIRACA, PR - Rodovia: BR-376, KM 72;1;-22,93531404;-52,74398804
GUAIRACA, PR - Rodovia: BR-376, KM 78;0;-22,95697439;-52,66854195
GUAIRACA, PR - Rodovia: BR-376, KM 76;2;-22,95934245;-52,68781508
PARANAVAI, PR - Rodovia: BR-376, KM 82;1;-22,963128;-52,642796
GUAIRACA, PR - Rodovia: BR-376, KM 71;0;-22,96425637;-52,80355453
PARANAVAI, PR - Rodovia: BR-376, KM 84;1;-22,97356659;-52,61489868
PARANAVAI, PR - Rodovia: BR-376, KM 89;1;-22,99751013;-52,57548503
CAMBARA, PR - Rodovia: BR-369, KM 27;1;-23,00130083;-49,98890877
JACAREZINHO, PR - Rodovia: BR-153, KM 1;3;-23,00326611;-49,90765745
JACAREZINHO, PR - Rodovia: BR-369, KM 1;0;-23,00402;-49,90964
PARANAVAI, PR - Rodovia: BR-376, KM 93;0;-23,00536583;-52,54748191
JACAREZINHO, PR - Rodovia: BR-153, KM 2;3;-23,01205463;-49,90963386
PARANAVAI, PR - Rodovia: BR-376, KM 95;2;-23,01459965;-52,52124604
PARANAVAI, PR - Rodovia: BR-376, KM 97;0;-23,01506057;-52,51163922
CAMBARA, PR - Rodovia: BR-369, KM 16;1;-23,02921;-50,046287
CAMBARA, PR - Rodovia: BR-369, KM 17;1;-23,03346804;-50,05964935
CAMBARA, PR - Rodovia: BR-369, KM 18;2;-23,033713;-50,0602
ANDIRA, PR - Rodovia: BR-369, KM 36;0;-23,03379926;-50,21830201
PARANAVAI, PR - Rodovia: BR-376, KM 88;6;-23,034239;-52,479462
PARANAVAI, PR - Rodovia: BR-376, KM 90;1;-23,034239;-52,479462
CAMBARA, PR - Rodovia: BR-369, KM 28;3;-23,03529107;-50,15295267
CAMBARA, PR - Rodovia: BR-369, KM 19;0;-23,03601268;-50,067586
CAMBARA, PR - Rodovia: BR-369, KM 20;5;-23,036157;-50,077326
CAMBARA, PR - Rodovia: BR-369, KM 25;10;-23,03722191;-50,12888718
CAMBARA, PR - Rodovia: BR-369, KM 31;1;-23,03791921;-50,16893864
ANDIRA, PR - Rodovia: BR-369, KM 34;2;-23,03834993;-50,1702261
CAMBARA, PR - Rodovia: BR-369, KM 30;1;-23,03897194;-50,17401874
CAMBARA, PR - Rodovia: BR-369, KM 26;0;-23,03978646;-50,1232338
PARANAVAI, PR - Rodovia: BR-376, KM 102;0;-23,04143749;-52,47358046
PARANAVAI, PR - Rodovia: BR-376, KM 101;1;-23,04150358;-52,47380367
CAMBARA, PR - Rodovia: BR-369, KM 22;0;-23,042198;-50,101197
CAMBARA, PR - Rodovia: BR-369, KM 23;8;-23,04308895;-50,10413554
ANDIRA, PR - Rodovia: BR-369, KM 37;3;-23,045298;-50,232159
PARANAVAI, PR - Rodovia: BR-376, KM 103;1;-23,04663864;-52,46094525
ANDIRA, PR - Rodovia: BR-369, KM 38;7;-23,04693211;-50,23503095
PARANAVAI, PR - Rodovia: BR-376, KM 105;1;-23,05157684;-52,44672491
PARANAVAI, PR - Rodovia: BR-376, KM 104;0;-23,05414479;-52,44313136
ANDIRA, PR - Rodovia: BR-369, KM 39;2;-23,05501028;-50,24334848
ANDIRA, PR - Rodovia: BR-369, KM 40;1;-23,05917169;-50,24954438
PARANAVAI, PR - Rodovia: BR-376, KM 106;1;-23,06315623;-52,43184719
PARANAVAI, PR - Rodovia: BR-376, KM 107;1;-23,06315623;-52,43184719
ANDIRA, PR - Rodovia: BR-369, KM 42;2;-23,07215131;-50,26358843
ANDIRA, PR - Rodovia: BR-369, KM 41;4;-23,073495;-50,266523
PARANAVAI, PR - Rodovia: BR-376, KM 91;6;-23,0738;-52,4653
PARANAVAI, PR - Rodovia: BR-376, KM 108;6;-23,07492893;-52,41720594
JACAREZINHO, PR - Rodovia: BR-153, KM 11;2;-23,07581697;-49,93444116
PARANAVAI, PR - Rodovia: BR-376, KM 109;1;-23,08086594;-52,40984795
PARANAVAI, PR - Rodovia: BR-376, KM 110;4;-23,08086594;-52,40984795
ANDIRA, PR - Rodovia: BR-369, KM 43;3;-23,08230876;-50,27363431
ANDIRA, PR - Rodovia: BR-369, KM 44;6;-23,083468;-50,27477
BANDEIRANTES, PR - Rodovia: BR-369, KM 45;2;-23,088399;-50,292096
PARANAVAI, PR - Rodovia: BR-376, KM 111;3;-23,08858495;-52,39582658
PARANAVAI, PR - Rodovia: BR-376, KM 112;2;-23,08978348;-52,39306536
BANDEIRANTES, PR - Rodovia: BR-369, KM 46;4;-23,09035157;-50,29617894
ALTO PARANA, PR - Rodovia: BR-376, KM 115;2;-23,093431;-52,384197
ALTO PARANA, PR - Rodovia: BR-376, KM 114;5;-23,09602865;-52,37485191
ALTO PARANA, PR - Rodovia: BR-376, KM 117;4;-23,10346726;-52,35305071
BANDEIRANTES, PR - Rodovia: BR-369, KM 54;6;-23,10435094;-50,35006821
BANDEIRANTES, PR - Rodovia: BR-369, KM 55;1;-23,10569749;-50,36124137
ALTO PARANA, PR - Rodovia: BR-376, KM 116;10;-23,105795;-52,347626
BANDEIRANTES, PR - Rodovia: BR-369, KM 53;1;-23,10855924;-50,3390336
BANDEIRANTES, PR - Rodovia: BR-369, KM 57;2;-23,10869292;-50,3675884
BANDEIRANTES, PR - Rodovia: BR-369, KM 56;9;-23,109733;-50,370965
JACAREZINHO, PR - Rodovia: BR-153, KM 14;2;-23,10979273;-49,94219542
BANDEIRANTES, PR - Rodovia: BR-369, KM 52;2;-23,11243237;-50,333004
ALTO PARANA, PR - Rodovia: BR-376, KM 119;1;-23,11371919;-52,33007409
BANDEIRANTES, PR - Rodovia: BR-369, KM 51;2;-23,11646511;-50,32856226
JACAREZINHO, PR - Rodovia: BR-153, KM 16;0;-23,11894605;-49,94417381
BANDEIRANTES, PR - Rodovia: BR-369, KM 58;14;-23,12096272;-50,3788805
ALTO PARANA, PR - Rodovia: BR-376, KM 121;0;-23,12276;-52,30982
ALTO PARANA, PR - Rodovia: BR-376, KM 120;1;-23,126841;-52,304573
BANDEIRANTES, PR - Rodovia: BR-369, KM 65;1;-23,12824443;-50,45162201
ALTO PARANA, PR - Rodovia: BR-376, KM 118;8;-23,12911268;-52,30187416
SANTA MARIANA, PR - Rodovia: BR-369, KM 67;0;-23,12996304;-50,46855211
BANDEIRANTES, PR - Rodovia: BR-369, KM 63;0;-23,13185553;-50,43521762
BANDEIRANTES, PR - Rodovia: BR-369, KM 60;1;-23,131895;-50,39596081
ALTO PARANA, PR - Rodovia: BR-376, KM 122;10;-23,132568;-52,297016
ALTO PARANA, PR - Rodovia: BR-376, KM 123;5;-23,132568;-52,297016
JACAREZINHO, PR - Rodovia: BR-153, KM 17;0;-23,1336;-49,94548
BANDEIRANTES, PR - Rodovia: BR-369, KM 62;0;-23,134283;-50,41837
ALTO PARANA, PR - Rodovia: BR-376, KM 124;2;-23,13894837;-52,28842288
SANTA MARIANA, PR - Rodovia: BR-369, KM 69;4;-23,1409629;-50,4876781
JACAREZINHO, PR - Rodovia: BR-153, KM 19;6;-23,14321582;-49,94911225
JACAREZINHO, PR - Rodovia: BR-153, KM 18;7;-23,14364028;-49,94949639
SANTA MARIANA, PR - Rodovia: BR-369, KM 80;2;-23,14492547;-50,58053702
SANTA MARIANA, PR - Rodovia: BR-369, KM 71;0;-23,14543;-50,497033
SANTA MARIANA, PR - Rodovia: BR-369, KM 78;2;-23,14644;-50,56448
CORNELIO PROCOPIO, PR - Rodovia: BR-369, KM 81;0;-23,14726946;-50,59337139
SANTA MARIANA, PR - Rodovia: BR-369, KM 74;1;-23,14950606;-50,52877307
SANTA MARIANA, PR - Rodovia: BR-369, KM 75;2;-23,14957621;-50,53047605
ALTO PARANA, PR - Rodovia: BR-376, KM 126;2;-23,14972357;-52,27427368
SANTA MARIANA, PR - Rodovia: BR-369, KM 73;3;-23,15392;-50,52045
SANTA MARIANA, PR - Rodovia: BR-369, KM 72;2;-23,15562785;-50,50671458
JACAREZINHO, PR - Rodovia: BR-153, KM 20;3;-23,15816552;-49,95960461
CORNELIO PROCOPIO, PR - Rodovia: BR-369, KM 83;1;-23,1604508;-50,6081749
ALTO PARANA, PR - Rodovia: BR-376, KM 127;3;-23,16113812;-52,25908808
ALTO PARANA, PR - Rodovia: BR-376, KM 125;2;-23,16340416;-52,25578308
JACAREZINHO, PR - Rodovia: BR-153, KM 21;3;-23,1655322;-49,96043086
ALTO PARANA, PR - Rodovia: BR-376, KM 129;1;-23,16609;-52,2525
ALTO PARANA, PR - Rodovia: BR-376, KM 128;0;-23,16687649;-52,25152136
CORNELIO PROCOPIO, PR - Rodovia: BR-369, KM 84;0;-23,16701431;-50,61087012
NOVA ESPERANCA, PR - Rodovia: BR-376, KM 129;0;-23,16896471;-52,24851384
CORNELIO PROCOPIO, PR - Rodovia: BR-369, KM 85;5;-23,169737;-50,613138
ALTO PARANA, PR - Rodovia: BR-376, KM 130;2;-23,1716677;-52,2433149
JACAREZINHO, PR - Rodovia: BR-153, KM 22;1;-23,17225028;-49,96840286
CORNELIO PROCOPIO, PR - Rodovia: BR-369, KM 86;4;-23,17411151;-50,62296689
NOVA ESPERANCA, PR - Rodovia: BR-376, KM 130;4;-23,17504848;-52,23423918
JACAREZINHO, PR - Rodovia: BR-153, KM 23;1;-23,17659697;-49,97635304
CORNELIO PROCOPIO, PR - Rodovia: BR-369, KM 87;0;-23,17992618;-50,62460303
CORNELIO PROCOPIO, PR - Rodovia: BR-369, KM 88;6;-23,18182875;-50,6308794
NOVA ESPERANCA, PR - Rodovia: BR-376, KM 132;4;-23,18188595;-52,21612797
CORNELIO PROCOPIO, PR - Rodovia: BR-369, KM 89;1;-23,18522906;-50,63960463
NOVA ESPERANCA, PR - Rodovia: BR-376, KM 133;8;-23,1883247;-52,20929269
JACAREZINHO, PR - Rodovia: BR-153, KM 25;2;-23,18936356;-49,98590469
JACAREZINHO, PR - Rodovia: BR-153, KM 10;3;-23,18971859;-49,9836731
JACAREZINHO, PR - Rodovia: BR-153, KM 26;0;-23,19178786;-49,98571648
JACAREZINHO, PR - Rodovia: BR-153, KM 27;0;-23,191788;-49,985718
NOVA ESPERANCA, PR - Rodovia: BR-376, KM 135;1;-23,19362389;-52,20402718
CORNELIO PROCOPIO, PR - Rodovia: BR-369, KM 90;4;-23,19370278;-50,6510067
NOVA ESPERANCA, PR - Rodovia: BR-376, KM 134;3;-23,194996;-52,202679
NOVA ESPERANCA, PR - Rodovia: BR-376, KM 136;8;-23,20241007;-52,19657421
CORNELIO PROCOPIO, PR - Rodovia: BR-369, KM 92;9;-23,20466856;-50,65516949
CORNELIO PROCOPIO, PR - Rodovia: BR-369, KM 91;6;-23,20485145;-50,65508902
CORNELIO PROCOPIO, PR - Rodovia: BR-369, KM 96;2;-23,20552974;-50,65500498
CORNELIO PROCOPIO, PR - Rodovia: BR-369, KM 93;7;-23,20900729;-50,66250801
JACAREZINHO, PR - Rodovia: BR-153, KM 28;3;-23,20965194;-49,98695323
NOVA ESPERANCA, PR - Rodovia: BR-376, KM 137;4;-23,21631106;-52,18536405
CORNELIO PROCOPIO, PR - Rodovia: BR-369, KM 94;1;-23,21788692;-50,67012012
NOVA ESPERANCA, PR - Rodovia: BR-376, KM 138;1;-23,21846865;-52,18264997
SANTO ANTONIO DA PLATINA, PR - Rodovia: BR-153, KM 30;1;-23,22052396;-50,01107991
SANTO ANTONIO DA PLATINA, PR - Rodovia: BR-153, KM 31;0;-23,22230856;-50,01972014
NOVA ESPERANCA, PR - Rodovia: BR-376, KM 139;1;-23,223767;-52,178663
CORNELIO PROCOPIO, PR - Rodovia: BR-369, KM 99;1;-23,22717912;-50,67821503
CORNELIO PROCOPIO, PR - Rodovia: BR-369, KM 95;4;-23,2314518;-50,6786871
SANTO ANTONIO DA PLATINA, PR - Rodovia: BR-153, KM 33;3;-23,23224667;-50,03655553
CORNELIO PROCOPIO, PR - Rodovia: BR-369, KM 97;0;-23,238935;-50,692368
NOVA ESPERANCA, PR - Rodovia: BR-376, KM 140;9;-23,240108;-52,171955
CORNELIO PROCOPIO, PR - Rodovia: BR-369, KM 98;0;-23,24174043;-50,70233161
CORNELIO PROCOPIO, PR - Rodovia: BR-369, KM 100;0;-23,2428544;-50,71802974
URAI, PR - Rodovia: BR-369, KM 101;2;-23,24663985;-50,72709468
SANTO ANTONIO DA PLATINA, PR - Rodovia: BR-153, KM 35;3;-23,2478376;-50,04311833
SANTO ANTONIO DA PLATINA, PR - Rodovia: BR-153, KM 36;0;-23,2478376;-50,04311833
NOVA ESPERANCA, PR - Rodovia: BR-376, KM 141;3;-23,24847;-52,168648
NOVA ESPERANCA, PR - Rodovia: BR-376, KM 142;1;-23,24847;-52,168648
URAI, PR - Rodovia: BR-369, KM 105;2;-23,25010392;-50,75478584
URAI, PR - Rodovia: BR-369, KM 104;2;-23,25015277;-50,75448949
JATAIZINHO, PR - Rodovia: BR-369, KM 130;0;-23,25718236;-50,98265111
JATAIZINHO, PR - Rodovia: BR-369, KM 129;2;-23,25744627;-50,98219606
IBIPORA, PR - Rodovia: BR-369, KM 133;10;-23,26056597;-51,01038247
SANTO ANTONIO DA PLATINA, PR - Rodovia: BR-153, KM 38;5;-23,26079778;-50,0568062
IBIPORA, PR - Rodovia: BR-369, KM 132;10;-23,26180569;-50,99574029
URAI, PR - Rodovia: BR-369, KM 107;5;-23,26195893;-50,77602983
IBIPORA, PR - Rodovia: BR-369, KM 134;8;-23,26201715;-51,02561474
URAI, PR - Rodovia: BR-369, KM 108;0;-23,26467126;-50,78870326
IBIPORA, PR - Rodovia: BR-369, KM 135;2;-23,26612731;-51,03773648
PRESIDENTE CASTELO BRANCO, PR - Rodovia: BR-376, KM 144;1;-23,2698523;-52,15979158
IBIPORA, PR - Rodovia: BR-369, KM 136;3;-23,27037087;-51,04698122
URAI, PR - Rodovia: BR-369, KM 111;2;-23,27084566;-50,81093574
IBIPORA, PR - Rodovia: BR-369, KM 137;5;-23,27125792;-51,043033
JATAIZINHO, PR - Rodovia: BR-369, KM 128;5;-23,27219423;-50,9652704
SANTO ANTONIO DA PLATINA, PR - Rodovia: BR-153, KM 39;1;-23,27231767;-50,05734289
SANTO ANTONIO DA PLATINA, PR - Rodovia: BR-153, KM 34;3;-23,272318;-50,057343
SANTO ANTONIO DA PLATINA, PR - Rodovia: BR-153, KM 37;2;-23,272318;-50,057343
URAI, PR - Rodovia: BR-369, KM 112;1;-23,27337648;-50,81777573
IBIPORA, PR - Rodovia: BR-369, KM 138;9;-23,273384;-51,053246
IBIPORA, PR - Rodovia: BR-369, KM 139;16;-23,27373621;-51,05609536
CAMBE, PR - Rodovia: BR-369, KM 168;1;-23,2751;-51,2815
JATAIZINHO, PR - Rodovia: BR-369, KM 126;1;-23,27549793;-50,96308708
JATAIZINHO, PR - Rodovia: BR-369, KM 127;1;-23,27661947;-50,96175134
PRESIDENTE CASTELO BRANCO, PR - Rodovia: BR-376, KM 146;0;-23,27714628;-52,15381622
URAI, PR - Rodovia: BR-369, KM 116;3;-23,278121;-50,859372
URAI, PR - Rodovia: BR-369, KM 114;1;-23,27840778;-50,84412575
URAI, PR - Rodovia: BR-369, KM 113;1;-23,2786151;-50,84158872
IBIPORA, PR - Rodovia: BR-369, KM 140;2;-23,279252;-51,067365
PRESIDENTE CASTELO BRANCO, PR - Rodovia: BR-376, KM 145;9;-23,279581;-52,150963
URAI, PR - Rodovia: BR-369, KM 115;1;-23,279721;-50,854695
CAMBE, PR - Rodovia: BR-369, KM 160;10;-23,28219761;-51,25420868
PRESIDENTE CASTELO BRANCO, PR - Rodovia: BR-376, KM 147;8;-23,28321716;-52,1481514
CAMBE, PR - Rodovia: BR-369, KM 159;13;-23,28410412;-51,24448299
IBIPORA, PR - Rodovia: BR-369, KM 141;5;-23,2841848;-51,0726285
CAMBE, PR - Rodovia: BR-369, KM 158;1;-23,28441455;-51,23147964
SANTO ANTONIO DA PLATINA, PR - Rodovia: BR-153, KM 40;5;-23,28450371;-50,05672038
SANTO ANTONIO DA PLATINA, PR - Rodovia: BR-153, KM 49;1;-23,2845451;-50,0569899
LONDRINA, PR - Rodovia: BR-369, KM 158;0;-23,28550352;-51,23405457
JATAIZINHO, PR - Rodovia: BR-369, KM 119;2;-23,2855143;-50,89005589
PRESIDENTE CASTELO BRANCO, PR - Rodovia: BR-376, KM 148;0;-23,28622958;-52,14463866
LONDRINA, PR - Rodovia: BR-369, KM 159;0;-23,28695219;-51,22727394
LONDRINA, PR - Rodovia: BR-369, KM 157;4;-23,28713707;-51,22699318
SANTO ANTONIO DA PLATINA, PR - Rodovia: BR-153, KM 41;5;-23,287931;-50,059216
CAMBE, PR - Rodovia: BR-369, KM 161;17;-23,28836;-51,261542
IBIPORA, PR - Rodovia: BR-369, KM 142;3;-23,28859;-51,081118
CAMBE, PR - Rodovia: BR-369, KM 162;5;-23,2915149;-51,26564026
LONDRINA, PR - Rodovia: BR-369, KM 156;16;-23,29157941;-51,21681869
PRESIDENTE CASTELO BRANCO, PR - Rodovia: BR-376, KM 149;2;-23,29240034;-52,12692808
LONDRINA, PR - Rodovia: BR-369, KM 152;3;-23,29270505;-51,16856843
LONDRINA, PR - Rodovia: BR-369, KM 149;8;-23,29272253;-51,17298067
IBIPORA, PR - Rodovia: BR-369, KM 143;6;-23,29273954;-51,09511346
LONDRINA, PR - Rodovia: BR-369, KM 151;6;-23,29287481;-51,17147684
LONDRINA, PR - Rodovia: BR-369, KM 150;15;-23,29292737;-51,16284728
LONDRINA, PR - Rodovia: BR-369, KM 148;22;-23,2931156;-51,1431581
LONDRINA, PR - Rodovia: BR-369, KM 146;10;-23,29313102;-51,12556458
LONDRINA, PR - Rodovia: BR-369, KM 143;9;-23,29320657;-51,10166073
LONDRINA, PR - Rodovia: BR-369, KM 144;7;-23,29323496;-51,10203087
LONDRINA, PR - Rodovia: BR-369, KM 147;33;-23,293236;-51,129034
LONDRINA, PR - Rodovia: BR-369, KM 145;11;-23,29325112;-51,11824751
LONDRINA, PR - Rodovia: BR-369, KM 153;15;-23,29489371;-51,18921105
PRESIDENTE CASTELO BRANCO, PR - Rodovia: BR-376, KM 150;4;-23,29495407;-52,12056572
LONDRINA, PR - Rodovia: BR-369, KM 155;11;-23,29496931;-51,21011317
CAMBE, PR - Rodovia: BR-369, KM 164;9;-23,29511713;-51,28991425
CAMBE, PR - Rodovia: BR-369, KM 166;8;-23,29511713;-51,28991425
SANTO ANTONIO DA PLATINA, PR - Rodovia: BR-153, KM 42;9;-23,29512144;-50,06578041
SANTO ANTONIO DA PLATINA, PR - Rodovia: BR-153, KM 43;0;-23,29512144;-50,06578041
CAMBE, PR - Rodovia: BR-369, KM 165;8;-23,29516101;-51,29444718
CAMBE, PR - Rodovia: BR-369, KM 163;17;-23,29707456;-51,27587557
LONDRINA, PR - Rodovia: BR-369, KM 154;16;-23,29812263;-51,19454563
SANTO ANTONIO DA PLATINA, PR - Rodovia: BR-153, KM 48;0;-23,2983;-50,0694
CAMBE, PR - Rodovia: BR-369, KM 167;1;-23,29964553;-51,32521749
ROLANDIA, PR - Rodovia: BR-369, KM 168;7;-23,30072137;-51,32838517
ROLANDIA, PR - Rodovia: BR-369, KM 169;6;-23,30132961;-51,3297236
ROLANDIA, PR - Rodovia: BR-369, KM 170;1;-23,301997;-51,340478
PRESIDENTE CASTELO BRANCO, PR - Rodovia: BR-376, KM 152;3;-23,30505428;-52,11193085
ROLANDIA, PR - Rodovia: BR-369, KM 171;2;-23,30692643;-51,36536479
SANTO ANTONIO DA PLATINA, PR - Rodovia: BR-153, KM 44;3;-23,310602;-50,070324
SANTO ANTONIO DA PLATINA, PR - Rodovia: BR-153, KM 45;1;-23,31060229;-50,07032495
ROLANDIA, PR - Rodovia: BR-369, KM 173;14;-23,311647;-51,371683
ROLANDIA, PR - Rodovia: BR-369, KM 174;21;-23,31757747;-51,37823939
ROLANDIA, PR - Rodovia: BR-369, KM 172;6;-23,31932399;-51,3804388
SANTO ANTONIO DA PLATINA, PR - Rodovia: BR-153, KM 46;2;-23,31948992;-50,06836564
ROLANDIA, PR - Rodovia: BR-369, KM 176;3;-23,326498;-51,387952
SANTO ANTONIO DA PLATINA, PR - Rodovia: BR-153, KM 47;2;-23,32838307;-50,06643649
MANDAGUACU, PR - Rodovia: BR-376, KM 153;16;-23,32908302;-52,11162178
MANDAGUACU, PR - Rodovia: BR-376, KM 154;2;-23,32908302;-52,11162178
MANDAGUACU, PR - Rodovia: BR-376, KM 151;4;-23,336739;-52,107895
MANDAGUACU, PR - Rodovia: BR-376, KM 152;2;-23,336739;-52,107895
ROLANDIA, PR - Rodovia: BR-369, KM 175;4;-23,3368289;-51,3883245
ROLANDIA, PR - Rodovia: BR-369, KM 177;13;-23,33735665;-51,38799191
MANDAGUACU, PR - Rodovia: BR-376, KM 155;7;-23,33750324;-52,10577786
MANDAGUACU, PR - Rodovia: BR-376, KM 156;6;-23,3431911;-52,09041624
ROLANDIA, PR - Rodovia: BR-369, KM 178;7;-23,35103793;-51,38761103
ROLANDIA, PR - Rodovia: BR-369, KM 179;1;-23,35148657;-51,38774514
ARAPONGAS, PR - Rodovia: BR-369, KM 178;3;-23,35361984;-51,39065976
ARAPONGAS, PR - Rodovia: BR-369, KM 179;5;-23,361063;-51,399294
MANDAGUACU, PR - Rodovia: BR-376, KM 158;6;-23,36169997;-52,08593395
MANDAGUACU, PR - Rodovia: BR-376, KM 159;4;-23,36169997;-52,08593395
MANDAGUACU, PR - Rodovia: BR-376, KM 157;12;-23,36454534;-52,08345383
MARINGA, PR - Rodovia: BR-376, KM 159;1;-23,36498136;-52,07632098
MARINGA, PR - Rodovia: BR-376, KM 160;8;-23,36498136;-52,07632098
ARAPONGAS, PR - Rodovia: BR-369, KM 196;10;-23,36595457;-51,40444625
MANDAGUACU, PR - Rodovia: BR-376, KM 160;2;-23,36838484;-52,06572891
SANTO ANTONIO DA PLATINA, PR - Rodovia: BR-153, KM 50;0;-23,36962326;-50,06487873
